velocity,CO2,NOx
37.10275184,1.325879698,0
36.37627071,1.330213946,0
35.6658005,1.322363387,0
35.00004783,1.314527995,0
34.43378887,1.321548145,0
34.10750527,1.307976568,0
34.02436153,1.326394895,0
34.28637544,1.322417133,0
34.86585753,1.171059782,0
35.23877999,0.892205775,0
35.29724808,0.22182449,0
35.07452684,0.055163779,0
34.01471731,0.131356819,0
31.71878982,0.168905062,0
28.30036535,0.051884276,0
23.71762717,0.019391006,0
17.76533419,0.012782329,0
11.22410326,0.03805191,0
5.716273265,0.036012589,0
2.113742118,0.05886305,0
0.333328407,0.106580718,0
0,0.152509173,0
0,0.192878389,0
0,0.215223593,0
0,0.230966403,0
0,0.23356727,0
0,0.242170548,0
0,0.251426603,0
0.698603298,0.260837422,0
3.477306957,1.408224251,0
8.015440611,2.266310352,0
11.84355613,2.204520016,0
13.48194361,0.787324627,0.340885834
13.75827316,0.399765228,0
14.12106165,0.368374608,0
15.31449639,0.575561956,0
17.40329916,1.232442359,0
20.39394965,2.628519975,0
24.2352883,4.275089494,0
28.21236183,5.172606159,1.696295532
31.15972635,1.198319697,1.989220931
32.71723045,1.106125343,0.113284063
33.55318856,1.436709897,0
34.29696148,1.673596034,0
34.98023197,1.656398085,0
35.41813991,1.329245681,0
35.58589662,1.218651008,0
35.61181546,1.163610516,0
35.59124615,1.112036155,0
35.5177843,1.062162153,0
35.39674179,1.021924168,0
35.26940793,0.997948223,0
35.17827757,1.025559119,0
35.14776265,1.049820626,0
35.17191087,1.074529019,0
35.25128734,1.093542474,0
35.36223356,1.139451241,0
35.48048829,1.137077055,0
35.6279394,1.157788841,0
35.79241858,1.15986002,0
35.91828321,1.162477379,0
35.997622,1.155181924,0
36.15181652,1.127359346,0
36.63911342,1.324005321,0
37.60199099,2.085503686,0
38.75530427,2.652730322,0
39.64777149,1.988408175,0
40.13721573,1.648118627,0
40.33906627,1.440159457,0
40.39828782,1.378577202,0
40.3156715,1.287992249,0
