velocity,RPM,CO2,NOx,NH3
0,783,0.363823023,0,0
0,786,0.376297783,0,0
0,785,0.348450319,0,0
0,785,0.358446844,0,0
0,785,0.351120138,0,0
0,784,0.358986373,0,0
0,787,0.36113171,0,0
0,786,0.392596651,0,0
0,786,0.356841036,0,0
0,786,0.33059938,0,0
0,786,0.360046204,0,0
0,784,0.350064725,0,0
0,788,0.365749907,0,0
0,784,0.369469884,0,0
0,784,0.357367788,0,0
0,784,0.357367788,0,0
0,785,0.359503452,0,0
0,784,0.374598591,0,0
0,787,0.360547162,0,0
0,784,0.352205884,0,0
0,785,0.363544504,0,0
0,785,0.375591788,0,0
0,786,0.328111316,0,0
0,784,0.353623211,0,0
0,785,0.358417946,0,0
